"subj";"group";"tree";"cat";"rt"
0;0;0;0;550
0;0;0;0;588
0;0;0;0;629
0;0;0;0;684
0;0;0;0;590
0;0;0;0;599
0;0;0;0;612
0;0;0;0;535
0;0;0;0;614
0;0;0;0;669
0;0;0;0;1060
0;0;0;0;768
0;0;0;0;474
0;0;0;0;631
0;0;0;0;720
0;0;0;0;616
0;0;0;0;700
0;0;0;0;524
0;0;0;0;703
0;0;0;0;605
0;0;0;0;640
0;0;0;0;946
0;0;0;0;603
0;0;0;0;729
0;0;0;0;691
0;0;0;0;696
0;0;0;1;862
0;0;0;1;1368
0;0;0;1;631
0;0;0;1;1025
0;0;1;2;812
0;0;1;2;1067
0;0;1;3;624
0;0;1;3;641
0;0;1;3;759
0;0;1;3;1000
0;0;1;3;735
0;0;1;3;1175
0;0;1;3;736
0;0;1;3;737
0;0;1;3;574
0;0;1;3;652
0;0;1;3;850
0;0;1;3;646
0;0;1;3;743
0;0;1;3;589
0;0;1;3;667
0;0;1;3;791
0;0;1;3;712
0;0;1;3;709
0;0;1;3;1438
0;0;1;3;690
0;0;1;3;903
0;0;1;3;594
0;0;1;3;658
0;0;1;3;731
0;0;1;3;523
0;0;1;3;613
0;0;1;3;1087
0;0;1;3;914
1;0;0;0;824
1;0;0;0;663
1;0;0;0;548
1;0;0;0;584
1;0;0;0;576
1;0;0;0;1016
1;0;0;0;989
1;0;0;0;566
1;0;0;0;725
1;0;0;0;666
1;0;0;0;958
1;0;0;0;673
1;0;0;0;639
1;0;0;0;672
1;0;0;0;1152
1;0;0;0;440
1;0;0;0;655
1;0;0;0;640
1;0;0;0;607
1;0;0;0;622
1;0;0;0;623
1;0;0;0;731
1;0;0;0;675
1;0;0;0;1017
1;0;0;1;1020
1;0;0;1;951
1;0;0;1;749
1;0;0;1;920
1;0;0;1;1049
1;0;0;1;852
1;0;1;2;846
1;0;1;2;581
1;0;1;2;818
1;0;1;2;902
1;0;1;3;783
1;0;1;3;791
1;0;1;3;794
1;0;1;3;474
1;0;1;3;976
1;0;1;3;557
1;0;1;3;929
1;0;1;3;602
1;0;1;3;679
1;0;1;3;576
1;0;1;3;888
1;0;1;3;1178
1;0;1;3;1054
1;0;1;3;638
1;0;1;3;954
1;0;1;3;757
1;0;1;3;754
1;0;1;3;521
1;0;1;3;861
1;0;1;3;740
1;0;1;3;1048
1;0;1;3;518
1;0;1;3;780
1;0;1;3;784
1;0;1;3;839
1;0;1;3;725
2;0;0;0;589
2;0;0;0;521
2;0;0;0;630
2;0;0;0;809
2;0;0;0;738
2;0;0;0;746
2;0;0;0;488
2;0;0;0;573
2;0;0;0;631
2;0;0;0;459
2;0;0;0;663
2;0;0;0;884
2;0;0;0;691
2;0;0;0;961
2;0;0;0;684
2;0;0;0;751
2;0;0;0;536
2;0;0;0;784
2;0;0;0;482
2;0;0;0;824
2;0;0;1;904
2;0;0;1;829
2;0;0;1;609
2;0;0;1;640
2;0;0;1;560
2;0;0;1;1194
2;0;0;1;1731
2;0;0;1;680
2;0;0;1;662
2;0;0;1;774
2;0;1;2;632
2;0;1;2;587
2;0;1;2;881
2;0;1;2;842
2;0;1;2;1025
2;0;1;2;721
2;0;1;2;671
2;0;1;2;1075
2;0;1;2;859
2;0;1;3;612
2;0;1;3;606
2;0;1;3;772
2;0;1;3;585
2;0;1;3;666
2;0;1;3;767
2;0;1;3;724
2;0;1;3;605
2;0;1;3;531
2;0;1;3;914
2;0;1;3;771
2;0;1;3;941
2;0;1;3;658
2;0;1;3;699
2;0;1;3;582
2;0;1;3;694
2;0;1;3;600
2;0;1;3;843
2;0;1;3;553
2;0;1;3;548
2;0;1;3;863
3;0;0;0;766
3;0;0;0;918
3;0;0;0;455
3;0;0;0;425
3;0;0;0;715
3;0;0;0;802
3;0;0;0;782
3;0;0;0;752
3;0;0;0;715
3;0;0;0;813
3;0;0;0;681
3;0;0;0;524
3;0;0;0;694
3;0;0;0;812
3;0;0;0;1059
3;0;0;0;803
3;0;0;0;674
3;0;0;1;1272
3;0;0;1;622
3;0;0;1;962
3;0;0;1;1294
3;0;0;1;906
3;0;0;1;608
3;0;0;1;603
3;0;0;1;840
3;0;0;1;809
3;0;0;1;774
3;0;0;1;549
3;0;0;1;1049
3;0;0;1;878
3;0;1;2;696
3;0;1;2;914
3;0;1;2;421
3;0;1;2;617
3;0;1;2;952
3;0;1;3;736
3;0;1;3;702
3;0;1;3;672
3;0;1;3;681
3;0;1;3;677
3;0;1;3;1137
3;0;1;3;826
3;0;1;3;707
3;0;1;3;741
3;0;1;3;583
3;0;1;3;652
3;0;1;3;522
3;0;1;3;459
3;0;1;3;587
3;0;1;3;657
3;0;1;3;885
3;0;1;3;554
3;0;1;3;697
3;0;1;3;712
3;0;1;3;503
3;0;1;3;548
3;0;1;3;611
3;0;1;3;720
3;0;1;3;784
3;0;1;3;765
4;0;0;0;568
4;0;0;0;616
4;0;0;0;1006
4;0;0;0;555
4;0;0;0;531
4;0;0;0;877
4;0;0;0;482
4;0;0;0;531
4;0;0;0;506
4;0;0;0;694
4;0;0;0;608
4;0;0;0;584
4;0;0;0;653
4;0;0;0;692
4;0;0;0;817
4;0;0;0;718
4;0;0;0;537
4;0;0;0;516
4;0;0;0;721
4;0;0;1;1118
4;0;0;1;840
4;0;0;1;801
4;0;0;1;1811
4;0;0;1;1054
4;0;0;1;718
4;0;0;1;1176
4;0;0;1;768
4;0;0;1;802
4;0;0;1;696
4;0;0;1;831
4;0;1;2;557
4;0;1;2;713
4;0;1;2;861
4;0;1;2;735
4;0;1;3;818
4;0;1;3;565
4;0;1;3;619
4;0;1;3;790
4;0;1;3;833
4;0;1;3;909
4;0;1;3;530
4;0;1;3;516
4;0;1;3;711
4;0;1;3;636
4;0;1;3;595
4;0;1;3;600
4;0;1;3;583
4;0;1;3;746
4;0;1;3;902
4;0;1;3;620
4;0;1;3;1169
4;0;1;3;905
4;0;1;3;521
4;0;1;3;806
4;0;1;3;843
4;0;1;3;770
4;0;1;3;620
4;0;1;3;665
4;0;1;3;774
4;0;1;3;820
5;0;0;0;912
5;0;0;0;664
5;0;0;0;762
5;0;0;0;718
5;0;0;0;424
5;0;0;0;726
5;0;0;0;568
5;0;0;0;710
5;0;0;0;762
5;0;0;0;608
5;0;0;0;795
5;0;0;0;688
5;0;0;0;611
5;0;0;0;802
5;0;0;0;819
5;0;0;0;608
5;0;0;0;680
5;0;0;0;882
5;0;0;0;962
5;0;0;0;522
5;0;0;0;746
5;0;0;0;620
5;0;0;0;775
5;0;0;0;669
5;0;0;0;704
5;0;0;1;956
5;0;0;1;348
5;0;0;1;696
5;0;0;1;574
5;0;0;1;670
5;0;1;2;948
5;0;1;2;850
5;0;1;2;960
5;0;1;2;732
5;0;1;2;630
5;0;1;2;911
5;0;1;2;997
5;0;1;3;861
5;0;1;3;507
5;0;1;3;364
5;0;1;3;723
5;0;1;3;212
5;0;1;3;517
5;0;1;3;519
5;0;1;3;733
5;0;1;3;414
5;0;1;3;360
5;0;1;3;505
5;0;1;3;774
5;0;1;3;325
5;0;1;3;459
5;0;1;3;583
5;0;1;3;229
5;0;1;3;392
5;0;1;3;571
5;0;1;3;462
5;0;1;3;664
5;0;1;3;531
5;0;1;3;586
5;0;1;3;470
6;0;0;0;487
6;0;0;0;471
6;0;0;0;659
6;0;0;0;428
6;0;0;0;539
6;0;0;0;576
6;0;0;0;646
6;0;0;0;466
6;0;0;0;699
6;0;0;0;775
6;0;0;0;522
6;0;0;0;403
6;0;0;0;814
6;0;0;0;596
6;0;0;0;790
6;0;0;0;754
6;0;0;0;766
6;0;0;0;713
6;0;0;0;700
6;0;0;0;686
6;0;0;0;614
6;0;0;0;584
6;0;0;1;813
6;0;0;1;1018
6;0;0;1;978
6;0;0;1;1224
6;0;0;1;650
6;0;0;1;774
6;0;0;1;790
6;0;0;1;953
6;0;1;2;1015
6;0;1;2;1006
6;0;1;2;650
6;0;1;2;423
6;0;1;3;546
6;0;1;3;699
6;0;1;3;556
6;0;1;3;761
6;0;1;3;414
6;0;1;3;1156
6;0;1;3;601
6;0;1;3;589
6;0;1;3;1121
6;0;1;3;688
6;0;1;3;912
6;0;1;3;976
6;0;1;3;825
6;0;1;3;894
6;0;1;3;626
6;0;1;3;709
6;0;1;3;962
6;0;1;3;690
6;0;1;3;664
6;0;1;3;839
6;0;1;3;803
6;0;1;3;708
6;0;1;3;829
6;0;1;3;650
6;0;1;3;749
6;0;1;3;607
7;0;0;0;936
7;0;0;0;895
7;0;0;0;502
7;0;0;0;871
7;0;0;0;662
7;0;0;0;826
7;0;0;0;713
7;0;0;0;787
7;0;0;0;551
7;0;0;0;711
7;0;0;0;824
7;0;0;0;877
7;0;0;0;731
7;0;0;0;652
7;0;0;0;965
7;0;0;0;695
7;0;0;0;524
7;0;0;0;912
7;0;0;0;501
7;0;0;0;837
7;0;0;0;721
7;0;0;1;610
7;0;0;1;1472
7;0;0;1;1127
7;0;0;1;1166
7;0;0;1;707
7;0;0;1;983
7;0;0;1;580
7;0;0;1;892
7;0;0;1;738
7;0;1;2;730
7;0;1;2;916
7;0;1;2;1029
7;0;1;2;668
7;0;1;2;667
7;0;1;3;712
7;0;1;3;740
7;0;1;3;590
7;0;1;3;785
7;0;1;3;594
7;0;1;3;636
7;0;1;3;698
7;0;1;3;638
7;0;1;3;554
7;0;1;3;828
7;0;1;3;821
7;0;1;3;771
7;0;1;3;896
7;0;1;3;515
7;0;1;3;445
7;0;1;3;769
7;0;1;3;870
7;0;1;3;507
7;0;1;3;651
7;0;1;3;692
