"subj";"group";"tree";"cat";"rt"
0;0;0;0;6,30991827822652
0;0;0;0;6,37672694789863
0;0;0;0;6,44413125670044
0;0;0;0;6,52795791762255
0;0;0;0;6,38012253689976
0;0;0;0;6,39526159811545
0;0;0;0;6,41673228251233
0;0;0;0;6,28226674689601
0;0;0;0;6,41999492814714
0;0;0;0;6,50578406012823
0;0;0;0;6,96602418710611
0;0;0;0;6,64378973314767
0;0;0;0;6,16120732169508
0;0;0;0;6,44730586254121
0;0;0;0;6,5792512120101
0;0;0;0;6,42324696353352
0;0;0;0;6,5510803350434
0;0;0;0;6,26149168432104
0;0;0;0;6,55535689181067
0;0;0;0;6,40522845803084
0;0;0;0;6,46146817635372
0;0;0;0;6,85224256905188
0;0;0;0;6,40191719672719
0;0;0;0;6,59167373200866
0;0;0;0;6,53813982376767
0;0;0;0;6,54534966033442
0;0;0;1;6,75925527066369
0;0;0;1;7,2211050981825
0;0;0;1;6,44730586254121
0;0;0;1;6,93244789157251
0;0;1;2;6,69950034016168
0;0;1;2;6,97260625130175
0;0;1;3;6,43615036836943
0;0;1;3;6,46302945692067
0;0;1;3;6,63200177739563
0;0;1;3;6,90775527898214
0;0;1;3;6,59987049921284
0;0;1;3;7,06902342657826
0;0;1;3;6,60123011872888
0;0;1;3;6,60258789218934
0;0;1;3;6,35262939631957
0;0;1;3;6,48004456192665
0;0;1;3;6,74523634948436
0;0;1;3;6,4707995037826
0;0;1;3;6,61069604471776
0;0;1;3;6,37842618365159
0;0;1;3;6,50279004591562
0;0;1;3;6,67329796776765
0;0;1;3;6,56807791141198
0;0;1;3;6,56385552653213
0;0;1;3;7,27100853828099
0;0;1;3;6,5366915975913
0;0;1;3;6,80572255341699
0;0;1;3;6,38687931936265
0;0;1;3;6,48920493132532
0;0;1;3;6,59441345974978
0;0;1;3;6,25958146406492
0;0;1;3;6,41836493593621
0;0;1;3;6,99117688712121
0;0;1;3;6,81783057145415
1;0;0;0;6,71417052990947
1;0;0;0;6,49677499018586
1;0;0;0;6,30627528694802
1;0;0;0;6,36990098282823
1;0;0;0;6,35610766069589
1;0;0;0;6,92362862813843
1;0;0;0;6,89669433162271
1;0;0;0;6,33859407820318
1;0;0;0;6,58617165485467
1;0;0;0;6,50128967054039
1;0;0;0;6,86484777797086
1;0;0;0;6,51174532964473
1;0;0;0;6,45990445437753
1;0;0;0;6,51025834052315
1;0;0;0;7,04925484125584
1;0;0;0;6,08677472691231
1;0;0;0;6,48463523563525
1;0;0;0;6,46146817635372
1;0;0;0;6,4085287910595
1;0;0;0;6,43294009273918
1;0;0;0;6,43454651878745
1;0;0;0;6,59441345974978
1;0;0;0;6,51471269087253
1;0;0;0;6,92461239604856
1;0;0;1;6,92755790627832
1;0;0;1;6,85751406254539
1;0;0;1;6,61873898351722
1;0;0;1;6,82437367004309
1;0;0;1;6,9555926083963
1;0;0;1;6,74758652682932
1;0;1;2;6,74051935960622
1;0;1;2;6,36475075685191
1;0;1;2;6,70686233660275
1;0;1;2;6,80461452006262
1;0;1;3;6,6631326959908
1;0;1;3;6,67329796776765
1;0;1;3;6,67708346124714
1;0;1;3;6,16120732169508
1;0;1;3;6,88346258641309
1;0;1;3;6,32256523992728
1;0;1;3;6,83410873881384
1;0;1;3;6,40025744530882
1;0;1;3;6,5206211275587
1;0;1;3;6,35610766069589
1;0;1;3;6,78897174299217
1;0;1;3;7,07157336421153
1;0;1;3;6,96034772910131
1;0;1;3;6,45833828334479
1;0;1;3;6,86066367144829
